,ds,y
637,2023-06-20,861
638,2023-06-21,17417
639,2023-06-22,16057
640,2023-06-23,14969
641,2023-06-24,13339
642,2023-06-25,11746
643,2023-06-26,417
644,2023-06-27,669
645,2023-06-28,15271
646,2023-06-29,14994
647,2023-06-30,13882
648,2023-07-01,14010
649,2023-07-02,12439
650,2023-07-03,829
651,2023-07-04,978
652,2023-07-05,12304
653,2023-07-06,16130
654,2023-07-07,10898
655,2023-07-08,6869
656,2023-07-09,6861
657,2023-07-10,507
658,2023-07-11,830
659,2023-07-12,6809
660,2023-07-13,1110
661,2023-07-14,11226
662,2023-07-15,19487
663,2023-07-16,13554
664,2023-07-17,1723
665,2023-07-18,26732
666,2023-07-19,34642
667,2023-07-20,15647
668,2023-07-21,15802
669,2023-07-22,16873
670,2023-07-23,15171
671,2023-07-24,1069
672,2023-07-25,1961
673,2023-07-26,18298
674,2023-07-27,11491
675,2023-07-28,7599
676,2023-07-29,7936
677,2023-07-30,7227
678,2023-07-31,994
679,2023-08-01,258
680,2023-08-02,8434
681,2023-08-03,7673
682,2023-08-04,28774
683,2023-08-05,26031
684,2023-08-06,20808
685,2023-08-07,14411
686,2023-08-08,2167
687,2023-08-09,15778
688,2023-08-10,15933
689,2023-08-11,15471
690,2023-08-12,13973
691,2023-08-13,13465
692,2023-08-14,333
693,2023-08-15,924
694,2023-08-16,18957
695,2023-08-17,19316
696,2023-08-18,17353
697,2023-08-19,16488
698,2023-08-20,15695
699,2023-08-21,1271
700,2023-08-22,1957
701,2023-08-23,16312
702,2023-08-24,15678
703,2023-08-25,14208
704,2023-08-26,14530
705,2023-08-27,15174
